[3.17942530e-01 6.63877964e-01 1.20243389e-08],[ 0.32906446  0.6753425  -0.00929747],[ 0.33329302  0.69357562 -0.01083472],[ 0.3345412   0.71108907 -0.01018363],[ 0.33681589  0.72521138 -0.00846737],[ 0.31953502  0.70684606 -0.00194357],[3.22235644e-01 7.26562023e-01 1.53710178e-04],[0.32881278 0.73077536 0.00090765],[0.33312899 0.72918069 0.00165663],[0.3152979  0.70465773 0.00424453],[0.31939745 0.72252041 0.00848482],[0.32681233 0.72620434 0.00927084],[0.33208561 0.72447556 0.00908457],[0.3139213  0.70154083 0.00954261],[0.31833282 0.71667856 0.0128132 ],[0.32463661 0.71968663 0.0127169 ],[0.32975915 0.71889716 0.01192259],[0.31396833 0.69946074 0.0140774 ],[0.31803352 0.71208239 0.01611352],[0.32286677 0.71517509 0.01646347],[0.32729477 0.71452457 0.01647901]
[3.56227219e-01 6.60303593e-01 6.88776325e-08],[0.36679474 0.6701085  0.00321641],[0.37524268 0.68244642 0.00161827],[ 0.37879795  0.69273341 -0.00096481],[ 0.3788701   0.70212853 -0.00324083],[ 0.38123336  0.68570048 -0.00601782],[ 0.39020869  0.70655173 -0.01133433],[ 0.38590559  0.71789747 -0.01297791],[ 0.37951222  0.71978962 -0.01261254],[ 0.37620094  0.68560451 -0.00990408],[ 0.3804391   0.71109867 -0.0146396 ],[ 0.37378523  0.71922255 -0.01428648],[ 0.36867371  0.71752834 -0.01281783],[ 0.36824498  0.68550622 -0.0132944 ],[ 0.37095046  0.70975626 -0.01653894],[ 0.36541921  0.71655321 -0.01406424],[ 0.36182374  0.71484369 -0.01136777],[ 0.35887355  0.68538487 -0.01633043],[ 0.35914919  0.70482749 -0.01733828],[ 0.3570613   0.71152008 -0.01453775],[ 0.35620147  0.71198738 -0.01172199]
[3.62986326e-01 6.54444218e-01 4.02377758e-08],[0.37369597 0.66544467 0.00447687],[0.38217443 0.67859137 0.00415574],[0.38559633 0.68937498 0.00246294],[0.38668188 0.69905931 0.00078219],[ 0.38866287  0.68304163 -0.00179936],[ 0.39616355  0.7033549  -0.00601164],[ 0.39340654  0.71371812 -0.00800402],[ 0.38914165  0.71627259 -0.00833414],[ 0.38411331  0.6842075  -0.00602632],[ 0.38763624  0.70757037 -0.00942116],[ 0.3819676   0.71604276 -0.01012724],[ 0.37677783  0.71571672 -0.00991832],[ 0.37686786  0.68464255 -0.0098225 ],[ 0.37942699  0.70603597 -0.01209801],[ 0.37443101  0.71384561 -0.01139096],[ 0.37042388  0.7140227  -0.01041402],[ 0.36806741  0.68450224 -0.01319273],[ 0.36850563  0.70121282 -0.01378173],[ 0.36647424  0.70811987 -0.01219715],[ 0.36478785  0.70996958 -0.01064101]
[3.69698167e-01 6.52660668e-01 3.74435629e-08],[0.37960052 0.66312319 0.00502141],[0.38664874 0.6774112  0.00520446],[0.38752326 0.68825275 0.00401488],[0.38568982 0.69749194 0.00282885],[ 3.94167155e-01  6.84415638e-01 -5.67286625e-04],[ 0.40184081  0.70459813 -0.00326373],[ 0.3986606   0.71463823 -0.00402246],[ 0.39369804  0.71764284 -0.00363071],[ 0.38976103  0.68674052 -0.00451781],[ 0.3928102   0.71040118 -0.00619573],[ 0.38679048  0.71670693 -0.00587581],[ 0.38140056  0.71541989 -0.00502156],[ 0.38236266  0.68777102 -0.00790689],[ 0.38444689  0.7097435  -0.00858617],[ 0.37941259  0.71516532 -0.00663506],[ 0.37500414  0.714288   -0.00491803],[ 0.37330756  0.68791217 -0.01088718],[ 0.37338591  0.70467472 -0.01000196],[ 0.37117544  0.71142668 -0.00743303],[ 0.36928731  0.7138983  -0.00519992]
[3.74969989e-01 6.54218078e-01 1.29853657e-08],[0.38720971 0.665595   0.00574326],[0.39412895 0.68125194 0.00668706],[0.39495781 0.69332743 0.00633902],[0.39228946 0.70268011 0.00622076],[0.39887264 0.69089037 0.00114297],[4.04256970e-01 7.10603416e-01 3.94804898e-04],[0.40103638 0.71905124 0.00155996],[0.39667997 0.71929795 0.0032413 ],[ 0.39235938  0.69521254 -0.00262855],[ 0.39443177  0.71728837 -0.00228985],[ 3.90071422e-01  7.20872223e-01 -4.97473869e-04],[0.38688907 0.71732122 0.00127186],[ 0.3838824   0.69703853 -0.00572092],[ 0.38484696  0.71764994 -0.00462514],[ 0.38127363  0.7203595  -0.00128042],[0.37889302 0.71697313 0.00112355],[ 0.37446323  0.69627857 -0.00837954],[ 0.37361145  0.71241701 -0.00635779],[ 0.3718431   0.71688551 -0.00285777],[3.71236145e-01 7.16990829e-01 7.01174868e-05]
[ 3.76582950e-01  6.58609450e-01 -5.40075682e-08],[0.39142725 0.66676146 0.00302086],[0.3988533  0.68071818 0.00275215],[0.39952627 0.69477576 0.00197345],[0.3974762  0.70495087 0.00180495],[ 0.40237764  0.69383132 -0.00367719],[ 0.40879655  0.71473771 -0.00505908],[ 0.40486827  0.71569937 -0.00374957],[ 0.40125462  0.70899171 -0.00193005],[ 0.39316428  0.70080817 -0.00635987],[ 0.3958137   0.72230613 -0.00619702],[ 0.39277557  0.71824533 -0.00373619],[ 0.39172164  0.70932972 -0.00194058],[ 0.38319406  0.70366836 -0.00845451],[ 0.38508737  0.72276413 -0.00724578],[ 0.38346729  0.71760136 -0.0035519 ],[ 0.38289943  0.70970148 -0.00155304],[ 0.3734127   0.70297158 -0.01031541],[ 0.37412584  0.71763581 -0.00899139],[ 0.37413073  0.71444893 -0.00565432],[ 0.37455896  0.70854759 -0.00316351]
[ 3.76629919e-01  6.66327953e-01 -8.31413587e-08],[ 0.39455637  0.66699588 -0.00088958],[ 0.40569371  0.67955256 -0.00158985],[ 0.41269112  0.69479108 -0.00212143],[ 0.41960257  0.7044158  -0.00183821],[ 0.40370226  0.69877803 -0.00228185],[ 0.41346425  0.71693575 -0.00317837],[ 0.41458607  0.7083326  -0.00312325],[ 0.41123897  0.69994819 -0.00258458],[ 0.3946425   0.7062344  -0.00199806],[ 0.40486905  0.72214776 -0.00152877],[ 4.06493217e-01  7.13602841e-01 -4.12790600e-04],[4.03330863e-01 7.06061542e-01 3.48226167e-04],[ 0.38655123  0.70919096 -0.00156242],[ 3.95848572e-01  7.22790360e-01 -5.29001700e-04],[0.39774632 0.71585363 0.00159422],[0.39532706 0.70901263 0.00266393],[ 0.37992644  0.70970446 -0.00113685],[3.87827605e-01 7.18346953e-01 6.16894860e-04],[0.38969365 0.71366102 0.00318945],[0.38783228 0.70864683 0.00498996]
[ 3.77966702e-01  6.70882642e-01 -6.58951862e-08],[ 0.39526224  0.66725838 -0.00496141],[ 0.40855947  0.67730689 -0.00540525],[ 0.41842613  0.68892062 -0.00468079],[ 0.42693147  0.69486111 -0.00295375],[ 0.40746686  0.70197815 -0.00159116],[ 4.20005411e-01  7.13885427e-01 -6.98397460e-04],[4.24929529e-01 7.07341731e-01 1.59056610e-04],[0.42516765 0.69981086 0.00108089],[0.40180838 0.70759791 0.00165132],[0.41653433 0.71519887 0.00335636],[0.42240742 0.70679474 0.00405736],[0.42329887 0.6990149  0.00437   ],[0.39787623 0.70840484 0.00453777],[0.41195276 0.71534038 0.00568145],[0.41692346 0.70819014 0.00613089],[0.4176738  0.70086932 0.0061742 ],[0.39532921 0.70692194 0.00706989],[0.40663952 0.71236831 0.00787671],[0.4116087  0.70813316 0.00855556],[0.41306397 0.70277363 0.00912898]
[ 3.82530749e-01  6.66177869e-01 -2.88288522e-08],[ 0.39767691  0.66432774 -0.00815664],[ 0.41123363  0.67384821 -0.00842105],[ 0.4220061   0.68333906 -0.00682268],[ 0.4311507   0.68857038 -0.00414819],[4.10384953e-01 6.96222246e-01 3.40998551e-04],[0.42397648 0.70622092 0.00218019],[0.42894179 0.70134336 0.00249649],[0.42976168 0.69575214 0.0030005 ],[0.40735182 0.69850314 0.00595496],[0.42116264 0.70475751 0.00882929],[0.42716765 0.69834316 0.00838539],[0.42945027 0.69077486 0.0079653 ],[0.40535316 0.69712508 0.01067388],[0.4178361  0.70174652 0.01254104],[0.42356566 0.69617486 0.0110046 ],[0.42683321 0.69000399 0.0098212 ],[0.40426445 0.69475436 0.01482222],[0.41482159 0.6979174  0.01596804],[0.41996971 0.69434434 0.01546817],[0.42289266 0.6895591  0.01526619]
[3.91624421e-01 6.61869347e-01 7.56491847e-09],[ 0.40300936  0.66335368 -0.0100706 ],[ 0.41358176  0.67223358 -0.01124989],[ 0.42372578  0.681701   -0.01032603],[ 0.43250328  0.68772715 -0.00811634],[4.13665622e-01 6.93279147e-01 3.92231479e-04],[0.42583284 0.70440048 0.00118219],[0.4311088  0.69862157 0.00084311],[0.43157253 0.69304252 0.00106912],[0.41351116 0.69155818 0.00656153],[0.42769143 0.70203233 0.00788001],[0.43308702 0.69485146 0.0069114 ],[0.43292254 0.68699861 0.00680801],[0.41352683 0.68780637 0.01141179],[0.42620367 0.69523799 0.01204181],[0.43081716 0.68882239 0.00994753],[0.4315255  0.6825099  0.00894011],[0.41375613 0.68405974 0.01544539],[0.42387477 0.68706924 0.01559102],[0.42729619 0.68318945 0.01434345],[0.42785633 0.67983413 0.01390474]
[ 4.00961459e-01  6.57759190e-01 -5.43757821e-08],[ 0.4084399   0.66315657 -0.01019452],[ 0.41723287  0.67394042 -0.01273062],[ 0.42464432  0.68378824 -0.01379638],[ 0.43027031  0.69198847 -0.01408915],[ 0.42190754  0.69490564 -0.00203363],[ 0.43456948  0.69550133 -0.00676414],[ 0.43659261  0.68528199 -0.01094757],[ 0.4338145   0.67689461 -0.01262112],[0.4243927  0.69054586 0.00245085],[ 0.43687594  0.69137359 -0.00237651],[ 0.43750522  0.68062568 -0.00654786],[ 0.43379629  0.67246819 -0.00772296],[0.42557436 0.68527061 0.00553877],[4.36180353e-01 6.85775042e-01 4.45242447e-04],[ 0.43611813  0.67609757 -0.00272357],[ 0.43220329  0.66936028 -0.0029646 ],[0.42583454 0.68016064 0.00786396],[0.43392906 0.6783694  0.0036829 ],[0.43314168 0.67236161 0.00182374],[0.42954373 0.6682542  0.00218688]
[ 4.05850202e-01  6.54353440e-01 -7.29212317e-08],[ 0.41106445  0.66184759 -0.00725082],[ 0.41733256  0.67414045 -0.00892057],[ 0.4228012   0.6838845  -0.00965639],[ 0.42690825  0.69080985 -0.0096977 ],[ 0.42095223  0.69501817 -0.00146833],[ 0.43024164  0.69957542 -0.00588847],[ 0.43239367  0.69001126 -0.00969352],[ 0.43045524  0.6809721  -0.01135903],[0.42505544 0.69129974 0.00127453],[ 0.43560514  0.69588578 -0.00332153],[ 0.43731248  0.68495542 -0.00679351],[ 0.43413472  0.67517745 -0.00757294],[0.42766705 0.68634504 0.00294237],[ 0.43741751  0.69005179 -0.00184201],[ 0.43827233  0.67994571 -0.00434706],[ 0.43485892  0.67180294 -0.00423113],[0.42885575 0.68078637 0.00409878],[4.36626405e-01 6.80229008e-01 2.50227371e-04],[ 0.43700197  0.67400104 -0.00115544],[ 4.34185177e-01  6.69188857e-01 -6.12810138e-04]
[4.03869390e-01 6.50004029e-01 3.70469344e-08],[0.40776441 0.66441345 0.00320884],[0.41213661 0.67790353 0.0039513 ],[0.41622037 0.6862666  0.00325457],[0.4197841  0.6926114  0.00264618],[0.42366579 0.67953837 0.00410657],[0.43243414 0.6882605  0.00153964],[ 0.4298625   0.69536567 -0.00101462],[ 0.42464128  0.69996655 -0.00223573],[0.42573443 0.67738855 0.00110531],[ 4.36156273e-01  6.87337399e-01 -4.61713615e-04],[ 0.43410271  0.69690973 -0.00220152],[ 0.4280315   0.7017768  -0.00324404],[ 0.42586812  0.67489427 -0.0020905 ],[ 0.43455383  0.68783814 -0.00374331],[ 0.43209377  0.69662714 -0.00495684],[ 0.42656165  0.70105428 -0.00557628],[ 0.4241882   0.67224574 -0.00508772],[ 0.42786804  0.68281209 -0.00622915],[ 0.42575347  0.69032288 -0.00634045],[ 0.42174146  0.69446713 -0.0061304 ]
[4.04741377e-01 6.47441924e-01 2.13705267e-08],[ 0.40591311  0.65737051 -0.00753819],[ 0.40984806  0.67075658 -0.00966417],[ 0.41457286  0.6808874  -0.01012315],[ 0.41855353  0.68704957 -0.00966485],[ 0.4172343   0.68388009 -0.00587885],[ 0.42088854  0.69756609 -0.00896861],[ 0.42021829  0.69921613 -0.01111178],[ 0.41684121  0.69831395 -0.01166212],[ 0.42180386  0.68063587 -0.00203254],[ 0.4306961   0.69245124 -0.00464793],[ 0.43153757  0.69293785 -0.00616257],[ 0.42778909  0.69072026 -0.00627852],[0.42491546 0.67657673 0.00118397],[ 0.43344122  0.68605083 -0.00104569],[ 0.43433073  0.68544555 -0.00228789],[ 0.43135628  0.68370056 -0.00214074],[0.42657501 0.6727469  0.00388584],[0.43398392 0.68031126 0.00278058],[0.43571055 0.6812582  0.00246067],[0.43422142 0.68046129 0.00302851]
[4.01595235e-01 6.46286786e-01 7.43676836e-08],[ 0.40358603  0.65469438 -0.00836279],[ 0.40977663  0.66689074 -0.00975187],[ 0.41496307  0.67705572 -0.00887816],[ 0.41912663  0.68432361 -0.0069432 ],[ 0.42249623  0.67067927 -0.00732187],[ 0.42847902  0.68609732 -0.00851756],[ 0.42458203  0.69494373 -0.00891329],[ 0.41944718  0.69863653 -0.00835542],[ 0.42403308  0.67053413 -0.00219004],[ 0.43112335  0.6875962  -0.00263286],[ 0.42672566  0.69688118 -0.00319826],[ 0.42036709  0.69979841 -0.00314193],[0.42311072 0.67060518 0.00241136],[0.42588112 0.68582225 0.00162761],[ 4.20216352e-01  6.91900015e-01 -6.38084661e-04],[ 0.41446865  0.69295287 -0.00176234],[0.42069292 0.67102849 0.00652578],[0.42202908 0.6821996  0.00553486],[0.4183265  0.68732154 0.00377097],[0.41416249 0.68834829 0.0030049 ]
[ 3.95610899e-01  6.50452197e-01 -2.40980391e-08],[ 0.40942672  0.64554995 -0.0058351 ],[ 0.41977385  0.65393651 -0.00900995],[ 0.42535162  0.66694432 -0.01032285],[ 0.42709735  0.6773212  -0.0105815 ],[ 0.40856758  0.66830939 -0.01591358],[ 0.41745931  0.69035381 -0.02131026],[ 0.42683932  0.68999279 -0.02169761],[ 0.42947969  0.68437856 -0.0203276 ],[ 0.40358582  0.67657727 -0.01374144],[ 0.41647643  0.69911295 -0.01972306],[ 0.42650563  0.69612229 -0.01837202],[ 0.42841238  0.68810278 -0.01582398],[ 0.40187716  0.68294013 -0.01147612],[ 0.41408527  0.70221347 -0.01572527],[ 0.42344579  0.69889218 -0.0140074 ],[ 0.42618111  0.69255179 -0.01129203],[ 0.40184614  0.6869719  -0.00948263],[ 0.41183603  0.70268011 -0.01254257],[ 0.41996592  0.70268887 -0.01224949],[ 0.42288408  0.69762319 -0.01088894]
[ 3.93811315e-01  6.44375086e-01 -7.34447383e-08],[ 0.40917939  0.64601088 -0.0014795 ],[ 0.41957182  0.656106   -0.00309914],[ 0.42594799  0.66861713 -0.0041493 ],[ 0.42972267  0.67898041 -0.00422225],[ 0.41345942  0.66710526 -0.00958169],[ 0.42072195  0.68357217 -0.01200053],[ 0.42341429  0.6833269  -0.01003908],[ 0.42309889  0.67728502 -0.00763686],[ 0.4052988   0.6750955  -0.00967531],[ 0.41354674  0.69227576 -0.01243353],[ 0.41794491  0.69390661 -0.01024204],[ 0.41910437  0.68981653 -0.00805869],[ 0.39834347  0.68054658 -0.00946609],[ 0.40563804  0.69836509 -0.01203421],[ 0.41128099  0.70112026 -0.00975827],[ 0.4142825   0.69794548 -0.00736931],[ 0.39259771  0.68312061 -0.00919261],[ 0.39644352  0.69972843 -0.01182992],[ 0.40208063  0.70507884 -0.01141553],[ 0.40666407  0.70457977 -0.01016493]
[3.91693652e-01 6.41033590e-01 1.75725834e-09],[ 0.40439442  0.64393789 -0.0022755 ],[ 0.41706017  0.65175694 -0.00552855],[ 0.42497051  0.66072226 -0.00845465],[ 0.42843586  0.66777653 -0.01096082],[ 0.4120692   0.64912403 -0.01100587],[ 0.41832471  0.66285115 -0.01726339],[ 0.42060792  0.67222136 -0.02023645],[ 0.42077264  0.67614365 -0.02116322],[ 0.40300816  0.65397555 -0.01199925],[ 0.40929857  0.67316395 -0.01727048],[ 0.41216385  0.68203926 -0.0176783 ],[ 0.41303673  0.68310487 -0.01725547],[ 0.39463216  0.65934777 -0.01296995],[ 0.40007403  0.67901748 -0.01766045],[ 0.40391523  0.68640292 -0.0170743 ],[ 0.40644693  0.68563205 -0.01553988],[ 0.38707381  0.66473621 -0.01396343],[ 0.39019656  0.68348128 -0.01788497],[ 0.39490375  0.69114476 -0.01825035],[ 0.39951101  0.6920011  -0.01760047]
[3.89246702e-01 6.35440052e-01 4.01141165e-08],[ 0.40112954  0.63573623 -0.00232837],[ 0.41247565  0.63978499 -0.00593429],[ 0.42079911  0.64565784 -0.00895419],[ 0.42567307  0.65112442 -0.01168796],[ 0.4090986   0.63806772 -0.01180216],[ 0.4154281   0.64561599 -0.01801338],[ 0.41681758  0.6540007  -0.0216595 ],[ 0.41608384  0.65921307 -0.0233584 ],[ 0.40031266  0.64225525 -0.01287339],[ 0.40616003  0.65722787 -0.01802029],[ 0.40795791  0.66398442 -0.01861336],[ 0.40831026  0.66591311 -0.0186173 ],[ 0.39150271  0.6478138  -0.01368479],[ 0.39666614  0.66426837 -0.01776647],[ 0.39949363  0.66986465 -0.01610437],[ 0.40111068  0.66981828 -0.01427741],[ 0.38334805  0.65368623 -0.01454196],[ 0.38765502  0.66968071 -0.01733601],[ 0.39115337  0.67469358 -0.01586269],[ 0.39414376  0.67497885 -0.01408981]
[ 3.79698068e-01  6.26283348e-01 -1.82803839e-09],[ 0.39250571  0.6239689  -0.0036532 ],[ 0.40581346  0.62413824 -0.00862713],[ 0.41397473  0.62678492 -0.01314948],[ 0.41339964  0.63354087 -0.01714703],[ 0.397383    0.62262964 -0.01391324],[ 0.40479079  0.63110542 -0.02090528],[ 0.40759078  0.63871098 -0.02455323],[ 0.40771258  0.64182675 -0.02625592],[ 0.38807341  0.62996233 -0.01494935],[ 0.39446074  0.64015204 -0.02059434],[ 0.39826095  0.64983535 -0.02138405],[ 0.40003079  0.65330625 -0.02194047],[ 0.37970716  0.63775885 -0.01597792],[ 0.38525641  0.64893812 -0.02118666],[ 0.38949856  0.65848041 -0.02081074],[ 0.39294872  0.66165358 -0.02004703],[ 0.37279528  0.64578772 -0.01714277],[ 0.37714919  0.65841919 -0.02157298],[ 0.38198322  0.66462988 -0.0217815 ],[ 0.38660011  0.66592866 -0.02139919],[ 3.91736209e-01  6.47688746e-01 -1.40315786e-08],[ 0.39817369  0.64171124 -0.00287763],[ 0.40659299  0.64005232 -0.00618963],[ 0.41213575  0.64140904 -0.00896014],[ 0.41286904  0.6408571  -0.01171205],[ 0.4017854   0.63874125 -0.01052409],[ 0.40562895  0.63837737 -0.01505158],[ 0.40781778  0.64049649 -0.01759207],[ 0.40733922  0.64121288 -0.01893624],[ 0.39566615  0.64575803 -0.01124896],[ 0.39874887  0.64866138 -0.01471123],[ 0.40058792  0.6501109  -0.01511911],[ 0.40079287  0.64933211 -0.01564643],[ 0.38957381  0.65301383 -0.01181966],[ 0.39212966  0.65650177 -0.01505742],[ 0.39340711  0.65814728 -0.01399907],[ 0.3936823   0.65737194 -0.01323688],[ 0.38386399  0.66011482 -0.01252767],[ 0.38563317  0.66384673 -0.01490615],[ 0.38691321  0.66504717 -0.01387135],[ 0.38774019  0.66451043 -0.01304805]

[ 3.61222774e-01  6.22364283e-01 -1.03085696e-07],[ 0.36608577  0.60742891 -0.0106549 ],[ 0.37170839  0.59739453 -0.01865423],[ 0.37543777  0.59627694 -0.02523174],[ 0.37395051  0.59767127 -0.03151109],[ 0.35529655  0.60988444 -0.02074497],[ 0.35832638  0.61504936 -0.03043779],[ 0.36711428  0.61416632 -0.03619786],[ 0.37423432  0.61105549 -0.03947905],[ 0.3558242   0.6224674  -0.01885109],[ 0.36150965  0.62711179 -0.0270714 ],[ 0.37173605  0.62370801 -0.02918943],[ 0.37684369  0.6188271  -0.0306726 ],[ 0.35819739  0.63272846 -0.01746046],[ 0.36391392  0.63663727 -0.02505537],[ 0.37269166  0.63182884 -0.02617425],[ 0.37671229  0.62617457 -0.02632426],[ 0.36127865  0.64103901 -0.01682536],[ 0.36663356  0.64343524 -0.02204006],[ 0.37259829  0.64051145 -0.02277272],[ 0.37516728  0.63580602 -0.02304185]
[3.76630127e-01 6.36959314e-01 9.64162297e-08],[3.67541164e-01 6.23479664e-01 5.79989690e-04],[0.35802904 0.61282903 0.00075108],[3.50822777e-01 6.06512070e-01 3.06274393e-04],[ 3.44354689e-01  6.03551090e-01 -1.64169978e-04],[0.35286638 0.61793727 0.00349795],[0.34552613 0.61184192 0.0019312 ],[ 3.39476526e-01  6.07387662e-01 -1.68457569e-04],[ 0.33515009  0.60407442 -0.0014664 ],[0.35235354 0.62423927 0.00229802],[0.34409595 0.61768955 0.00132063],[ 3.38300675e-01  6.12815797e-01 -3.84590006e-04],[ 0.33396029  0.60824782 -0.00153167],[0.35252652 0.6302768  0.00084295],[ 3.44752073e-01  6.23596370e-01 -1.92043444e-04],[ 3.39706361e-01  6.18299901e-01 -5.24776522e-04],[ 3.36048305e-01  6.13680542e-01 -5.98878134e-04],[ 0.35387444  0.63556457 -0.00071221],[ 0.34815964  0.62906766 -0.00137503],[ 0.34443659  0.62384027 -0.00085412],[ 3.41675401e-01  6.19409800e-01 -1.87342244e-04]
[ 3.33173573e-01  5.84104657e-01 -4.34961542e-08],[ 0.33818316  0.59261906 -0.00616029],[ 0.33960381  0.60340893 -0.00990587],[ 0.336236    0.61225784 -0.01367371],[ 0.33003795  0.61717039 -0.016693  ],[ 0.33363605  0.62502319 -0.00274824],[ 0.33437449  0.63999134 -0.00890126],[ 0.33812508  0.63605231 -0.01334849],[ 0.33977368  0.62857515 -0.01544099],[ 0.3272073   0.6253708  -0.00231996],[ 0.32464179  0.64013898 -0.008363  ],[ 0.32846606  0.63334018 -0.01169341],[ 0.32962134  0.62518084 -0.01242462],[ 0.32095939  0.62149435 -0.00300555],[ 0.31622574  0.63489026 -0.00858846],[ 0.31936389  0.62915474 -0.0102365 ],[ 0.32017764  0.62234688 -0.00987009],[ 0.31578752  0.61450815 -0.00422506],[ 0.30963996  0.62104589 -0.00775214],[ 0.30948764  0.61975527 -0.008493  ],[ 0.30862671  0.61679488 -0.0079731 ]
[ 3.21407557e-01  5.89437604e-01 -4.35700152e-08],[ 0.31056315  0.59437603 -0.00461551],[ 0.30197337  0.60429728 -0.00682988],[ 0.29461589  0.61390936 -0.00939956],[ 0.28673884  0.61890066 -0.01120352],[0.29854494 0.62554103 0.00183212],[ 0.29552454  0.63714373 -0.00347056],[ 0.29775345  0.63095635 -0.00788741],[ 0.29943088  0.62292433 -0.01000896],[0.30469745 0.63011801 0.00200567],[ 0.30153558  0.64313775 -0.00321329],[ 0.30430299  0.63551205 -0.0064423 ],[ 0.30557635  0.62640917 -0.00710599],[0.31146607 0.63215315 0.00091014],[ 0.30945799  0.64543623 -0.00383592],[ 0.31158224  0.63907462 -0.004878  ],[ 0.31249097  0.63083971 -0.00402371],[ 0.31870869  0.63115764 -0.00073043],[ 0.3189522   0.6398043  -0.00368069],[ 0.31962219  0.63560629 -0.00353808],[ 0.31944486  0.62984961 -0.0022791 ]
[ 2.97610164e-01  6.00742161e-01 -1.25115704e-08],[ 0.28597274  0.59756899 -0.0052872 ],[ 0.27397954  0.60608649 -0.0064771 ],[ 0.26393709  0.61631036 -0.00766859],[ 0.25405189  0.61789072 -0.00832491],[0.26840037 0.61979014 0.0017634 ],[ 0.26118076  0.63034075 -0.00265274],[ 0.26225135  0.63023239 -0.00623322],[ 0.26522467  0.6245687  -0.00780819],[0.27396062 0.62760746 0.00290755],[ 0.26688901  0.63932616 -0.00190949],[ 0.27012908  0.63657647 -0.00531392],[ 0.27446938  0.62903285 -0.00623333],[0.28032124 0.63317025 0.00281711],[ 0.27399784  0.64505023 -0.00207349],[ 0.27676567  0.64274693 -0.00400299],[ 0.28059375  0.63568693 -0.00375398],[0.28765795 0.63711739 0.00224368],[ 0.28317764  0.64772278 -0.00131941],[ 0.28330582  0.64637649 -0.00238146],[ 0.28477421  0.64114881 -0.00204893]
[2.85749018e-01 6.01480961e-01 7.83036427e-08],[ 0.27000809  0.6036585  -0.00266692],[ 0.25748304  0.61201078 -0.00254863],[ 0.24745399  0.62164313 -0.00282468],[ 0.23853318  0.62541878 -0.00285155],[0.25628346 0.62234807 0.00600611],[0.24880281 0.63082552 0.0045812 ],[0.24353376 0.63447511 0.00207899],[2.40339339e-01 6.35702670e-01 5.68796124e-04],[0.26089358 0.62974197 0.00640199],[0.25405639 0.63903952 0.00588867],[0.24981736 0.64249539 0.00352722],[0.24751414 0.64314151 0.00201304],[0.2659156  0.63589966 0.00571678],[0.25948474 0.64543873 0.00490723],[0.25567707 0.64976919 0.00421361],[0.25386286 0.65096742 0.00400159],[0.2719959  0.64041883 0.00453353],[0.26636004 0.64997792 0.00425252],[0.26311141 0.6537146  0.00486476],[0.26131204 0.65555835 0.00563841]
[ 2.61703193e-01  6.12420082e-01 -1.08075895e-08],[ 0.2491564   0.6078499  -0.00562847],[ 0.23549385  0.61455113 -0.00706768],[ 0.22439888  0.62425613 -0.00857842],[ 0.21378811  0.62596506 -0.00960705],[0.22814773 0.62734473 0.00248852],[ 0.21979652  0.63712496 -0.00243289],[ 0.22003621  0.63825661 -0.00715869],[ 0.22372581  0.63390225 -0.00955892],[0.23314086 0.63613063 0.00343409],[ 0.22416024  0.64690882 -0.00197154],[ 0.22592008  0.64702904 -0.007266  ],[ 0.23111163  0.64124173 -0.00973677],[0.23913756 0.64280617 0.00303925],[ 0.23120989  0.6535207  -0.00177341],[ 0.23164469  0.65465629 -0.00571103],[ 0.23560497  0.64943725 -0.00726113],[0.24621904 0.64798135 0.0020947 ],[ 0.24030668  0.65767777 -0.0013064 ],[ 0.23875083  0.65839058 -0.00357004],[ 0.23934117  0.65451699 -0.00449332]
[2.52648383e-01 6.10277832e-01 7.43234452e-08],[ 0.23590273  0.60828024 -0.00544637],[ 0.2219248   0.61244744 -0.00579099],[ 0.20942548  0.62119865 -0.00653557],[ 0.19858575  0.6242671  -0.0069297 ],[0.21513182 0.62159568 0.00969527],[0.205613   0.62737638 0.00891164],[0.20260446 0.63041914 0.00556158],[0.20152125 0.63121885 0.00308224],[0.21889806 0.63017404 0.01112417],[0.20969234 0.63820231 0.00981539],[0.20814703 0.64135295 0.00432742],[2.09664881e-01 6.40546679e-01 6.32051029e-04],[0.2239567  0.63790357 0.01100697],[0.21630189 0.64618951 0.00907474],[0.21536879 0.6493926  0.00456722],[0.2178814  0.64726549 0.00186843],[0.23062423 0.64484382 0.01020991],[0.22459418 0.65293753 0.00880992],[0.22228178 0.65398693 0.00679788],[0.22231901 0.6512422  0.00560208]
[2.41115287e-01 6.06860042e-01 4.65629739e-08],[ 0.22467937  0.60451418 -0.00690307],[ 0.21011767  0.60706753 -0.0082781 ],[ 0.1967079   0.61383629 -0.00942532],[ 0.18541971  0.61604172 -0.01005681],[0.20365612 0.6165393  0.00621029],[0.19358948 0.62291247 0.00393892],[ 1.93829238e-01  6.25991642e-01 -2.09692706e-04],[ 0.19616802  0.62686402 -0.0027525 ],[0.20740524 0.62539053 0.00887182],[0.19767025 0.63274801 0.00694885],[0.19770935 0.63527745 0.0015864 ],[ 0.20080626  0.63492638 -0.0018056 ],[0.21172568 0.63281852 0.01002534],[0.20321642 0.63960201 0.00811714],[0.20287342 0.64232987 0.0047049 ],[0.20555173 0.64123857 0.00286855],[0.21680951 0.63866818 0.01040723],[0.20952021 0.6451667  0.00966355],[0.20806123 0.64541978 0.00881336],[0.20869276 0.64335507 0.00858602]
